2019-01-30*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*9,1*21,0*5,9*06:46*12,3*12:07*28*5,0*15,0*01:14*3,0*999,3*00*981,5*24
2019-01-31*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,0*12,6*8,7*22:43*15,2*11:26*28*7,2*18,1*16:28*0,1*981,5*00*974,7*24
2019-02-01*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*7,2*13,5*4,4*08:42*10,1*00:34*28*6,9*22,8*05:33*1,5*987,2*24*969,0*08
2019-02-02*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127**1,6*********0,5****
2019-02-03*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*7,0*0,0*2,6*05:15*11,3*14:27*99*3,1*7,8*Varias*8,1*1015,7*Varias*1010,2*00
2019-02-04*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*8,6*0,0*3,4*04:00*13,9*14:33*99*4,2*8,9*Varias*0,0*1013,3*00*1010,7*15
2019-02-05*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,0*0,0*8,0*19:47*15,9*12:53*99*2,5*7,2*Varias*9,3*1014,4*Varias*1012,2*04
2019-02-06*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*9,8*1,4*6,4*07:54*13,1*12:26*21*2,8*7,8*05:41*6,0*1012,3*00*1005,9*17
2019-02-07*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*9,4*0,2*5,8*22:53*13,0*13:57*29*4,4*12,8*01:55*6,7*1010,4*Varias*1007,0*04
2019-02-08*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,1*0,0*3,4*06:51*16,8*13:41*28*5,0*16,1*16:25*5,9*1007,2*00*1000,5*15
2019-02-09*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*13,3*5,2*9,2*08:06*17,4*11:58*23*2,5*16,1*21:56*2,8*1003,6*Varias*996,2*23
2019-02-10*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*11,5*3,7*6,7*22:04*16,3*04:50*23*7,8*29,2*04:41*2,0*1013,2*Varias*992,3*05
2019-02-11*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*8,6*0,0*4,4*22:13*12,8*12:21*19*2,8*8,3*08:33*8,6*1018,5*20*1013,1*00
2019-02-12*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*8,6*0,0*3,2*00:59*13,9*13:12*99*4,4*7,8*Varias*10,0*1017,5*Varias*1014,4*Varias
2019-02-13*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*9,6*0,0*3,8*00:01*15,5*14:53*22*2,5*8,3*06:38*10,0*1014,4*00*1012,2*24
2019-02-14*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*11,8*0,0*6,0*06:07*17,6*15:41*24*3,1*10,3*08:04*10,0*1012,2*00*1007,6*17
2019-02-15*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*13,9*0,0*9,1*23:59*18,7*12:56*21*2,5*10,3*06:50*9,2*1011,5*Varias*1008,0*04
2019-02-16*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*13,6*0,0*7,0*07:13*20,1*16:14*99*2,8*8,9*Varias*10,2*1011,4*00*1003,2*18
2019-02-17*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,2*2,3*7,9*00:26*16,6*12:49*20*2,2*10,8*08:08*5,5*1004,3*00*1002,2*15
2019-02-18*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*8,4*20,4*6,3*23:33*10,5*00:46*28*2,8*9,7*13:53*0,0*1007,4*Varias*1002,4*04
2019-02-19*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*7,6*0,0*3,5*07:21*11,8*Varias*22*3,3*10,3*09:05*9,1*1007,3*00*1003,8*17
2019-02-20*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*9,0*0,0*4,4*Varias*13,7*12:07*22*3,3*8,9*08:10*9,4*1008,1*Varias*1004,0*04
2019-02-21*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,9*0,0*6,5*05:03*19,3*13:15*99*4,7*8,9*Varias*9,6*1012,2*Varias*1007,7*04
2019-02-22*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*13,7*0,0*9,4*05:41*18,0*11:29*19*3,3*10,3*08:07*9,7*1013,2*Varias*1011,1*17
2019-02-23*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*13,8*0,0*8,3*23:53*19,3*13:06*23*3,9*8,9*01:32*4,5*1016,8*Varias*1011,9*00
2019-02-24*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,4*0,0*6,2*00:52*18,5*12:26*23*3,3*9,2*08:06*9,2*1015,6*00*1013,0*04
2019-02-25*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*13,4*0,0*6,7*22:22*20,0*12:22*19*0,6*9,2*06:37*9,4*1015,4*00*1012,9*24
2019-02-26*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*15,4*0,0*8,7*06:32*22,2*15:37*20*3,9*8,3*08:32*9,2*1012,9*00*1008,2*16
2019-02-27*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*13,3*0,0*8,4*07:06*18,2*15:02*99*2,5*8,3*Varias*8,7*1014,9*Varias*1007,3*04
2019-02-28*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*11,3*0,0*6,6*05:49*16,0*Varias*99*2,2*6,1*Varias*9,0*1017,1*12*1013,9*24
2019-03-01*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,8*0,0*6,9*07:01*14,6*13:13*99*2,8*7,8*Varias*5,5*1013,9*00*1009,2*15
2019-03-02*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*13,3*0,0*8,5*03:20*18,1*12:49*29*1,7*8,9*08:37*8,2*1011,0*Varias*1005,3*24
2019-03-03*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*16,5*0,1*7,7*04:14*25,3*15:22*25*5,6*20,0*22:13*4,3*1005,3*00*992,9*18
2019-03-04*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,2*0,0*9,0*22:20*15,3*00:06*24*6,1*22,8*00:02*4,1*1002,6*Varias*996,6*00
2019-03-05*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,6*0,1*5,6*06:13*19,6*14:09*99*3,1*8,3*Varias*5,2*1001,2*00*983,6*24
2019-03-06*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,0*8,3*7,7*19:07*16,3*14:02*28*9,4*28,9*17:23*1,8*995,6*Varias*978,6*15
2019-03-07*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*11,8*6,8*6,9*02:18*16,8*12:51*30*3,3*13,9*22:35*3,4*1002,8*Varias*994,6*14
2019-03-08*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,2*Ip*6,6*06:01*13,8*23:57*30*1,9*9,7*00:55*1,4*1011,7*Varias*1002,8*00
2019-03-09*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*15,4*0,0*10,4*21:44*20,3*11:05*22*2,8*9,7*11:02*7,5*1014,9*Varias*1011,6*00
2019-03-10*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,8*1,9*9,3*00:50*16,4*09:37*28*3,6*12,5*03:35*0,2*1019,4*Varias*1012,8*01
2019-03-11*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,1*0,0*6,4*21:10*13,8*14:14*10*3,6*9,7*15:34*6,5*1020,3*Varias*1011,7*24
2019-03-12*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,4*11,4*5,8*Varias*19,1*13:46*31*6,1*20,6*11:59*5,5*1014,6*Varias*1006,3*14
2019-03-13*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*9,0*3,3*5,9*04:05*12,1*15:15*29*4,2*13,9*09:52*4,8*1019,7*Varias*1013,7*04
2019-03-14*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,0*0,0*7,0*07:05*13,1*14:27*29*6,1*12,8*13:16*3,5*1019,4*00*1015,9*17
2019-03-15*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*9,4*0,0*4,7*23:49*14,1*11:07*22*3,1*8,9*07:58*10,9*1016,4*00*1010,1*24
2019-03-16*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*8,8*2,3*4,3*04:58*13,3*13:20*28*4,2*16,4*23:31*6,3*1010,1*00*1001,2*22
2019-03-17*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*9,0*3,5*5,4*23:52*12,7*14:01*99*4,2*15,3*Varias*4,3*1013,6*Varias*1001,1*03
2019-03-18*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*8,4*1,9*4,1*05:40*12,7*15:33*99*2,8*7,2*Varias*9,1*1016,0*Varias*1012,8*02
2019-03-19*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,1*0,2*7,0*23:20*13,2*13:12*99*2,2*5,0*Varias*3,8*1017,6*Varias*1014,1*04
2019-03-20*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,0*0,0*6,6*07:00*13,4*13:00*11*4,2*12,5*16:54*8,6*1017,8*Varias*1015,5*16
